"ISO Code"	"Country"	"Region"	"Subject.Descriptor"	"Units"	"Scale"	"X2000"	"X2001"	"X2002"	"X2003"	"X2004"	"X2005"	"X2006"	"X2007"	"X2008"	"X2009"	"X2010"	"X2011"	"X2012"	"X2013"	"X2014"	"X2015"	"X2016"	"X2017"	"X2018"	"X2019"	"X2020"	"X2021"	"GrowthRate"
"28"	"BEL"	"Belgium"	"Europe"	"GDP p.c. U.S. Dollars"	"U.S. dollars"	"Units"	23136.51	23067.16	25044.33	30707.67	35497.55	36945.5	38841.79	44496.79	48493.14	44892.23	44448.17	47564.38	44824.16	46848.61	47897.04	41147.26	42076.4	44274.07	47718.41	46555.09	44688.46	50412.71	0.0334628675621784
"29"	"BEL"	"Belgium"	"Europe"	"Inflation"	"Percent change"	""	2.964	1.925	1.333	1.634	2.01	2.759	2.073	3.111	2.699	0.333	3.382	3.185	2.082	1.167	-0.391	1.45	2.204	2.059	2.198	0.922	0.351	3.027	-0.101182652522109
"30"	"BEL"	"Belgium"	"Europe"	"Unemployment"	"Percent of total labor force"	""	6.858	6.567	7.525	8.175	8.383	8.475	8.267	7.492	6.967	7.908	8.317	7.15	7.558	8.45	8.542	8.508	7.842	7.108	5.983	5.375	5.55	6.31	-0.0105251155409219
"31"	"BEL"	"Belgium"	"Europe"	"Population"	"Persons"	"Millions"	10.239	10.263	10.31	10.356	10.396	10.446	10.511	10.585	10.667	10.753	10.84	11.001	11.076	11.138	11.181	11.237	11.311	11.352	11.399	11.456	11.522	11.542	0.00592016998365685
"32"	"BEL"	"Belgium"	"Europe"	"GDP FY U.S. Dollars"	"National currency"	"Billions"	256.376	264.335	273.255	281.201	296.82	310.037	325.151	343.619	351.742	346.473	363.14	375.968	386.175	392.88	403.004	416.702	430.085	445.05	460.37	476.343	451.177	487.169	0.0286638533355259
"33"	"CAN"	"Canada"	"North America"	"GDP Domestic Currency"	"National currency"	"Billions"	1106.07	1144.54	1193.69	1254.75	1335.73	1421.59	1496.6	1577.66	1657.04	1571.33	1666.05	1774.06	1827.2	1902.25	1994.9	1990.44	2025.54	2140.64	2231.17	2310.71	2204.91	2521.93	0.0350954813507514
"34"	"CAN"	"Canada"	"North America"	"GDP U.S. Dollars"	"U.S. dollars"	"Billions"	744.631	738.968	760.149	895.599	1026.47	1173.51	1319.36	1468.9	1552.86	1376.51	1617.35	1793.33	1828.36	1846.6	1805.75	1556.51	1528	1649.27	1721.82	1741.58	1644.04	2015.98	0.0403957354460542
"35"	"CAN"	"Canada"	"North America"	"GDP p.c. Domestic Currency"	"National currency"	"Units"	36090.21	36954.88	38126.65	39702.99	41870.81	44143.14	46007.77	48028.08	49911.75	46792.25	49061.54	51724.29	52710.5	54297.11	56365.13	55788.93	56183.06	58656.27	60297.21	61562.83	58064.93	66040.15	0.0240619383790572
"36"	"CAN"	"Canada"	"North America"	"GDP p.c. U.S. Dollars"	"U.S. dollars"	"Units"	24296.72	23859.71	24279.19	28338.75	32176.59	36439.62	40558.9	44716.99	46773.84	40990.63	47627.35	52285.94	52744	52708.61	51020.84	43626.47	42382.64	45191.96	46532.17	46399.71	43294.8	52791.23	0.0293057632005611
"37"	"CAN"	"Canada"	"North America"	"Inflation"	"Percent change"	""	3.128	1.069	3.82	1.708	2.293	2.305	1.389	2.496	1.841	0.787	2.228	2.661	0.993	0.956	1.974	1.273	1.414	1.833	2.054	2.062	0.755	3.801	-0.0686047679985198
"38"	"CAN"	"Canada"	"North America"	"Unemployment"	"Percent of total labor force"	""	6.833	7.225	7.667	7.583	7.15	6.767	6.325	6.075	6.2	8.375	8.075	7.55	7.375	7.133	6.967	6.942	7.05	6.383	5.908	5.733	9.6	7.723	0.0171452858440606
"39"	"CAN"	"Canada"	"North America"	"Population"	"Persons"	"Millions"	30.647	30.971	31.309	31.603	31.901	32.204	32.529	32.849	33.199	33.581	33.958	34.298	34.665	35.034	35.392	35.678	36.052	36.495	37.003	37.534	37.973	38.188	0.0107746631963686
"40"	"CAN"	"Canada"	"North America"	"GDP FY U.S. Dollars"	"National currency"	"Billions"	1106.07	1144.54	1193.69	1254.75	1335.73	1421.59	1496.6	1577.66	1657.04	1571.33	1666.05	1774.06	1827.2	1902.25	1994.9	1990.44	2025.54	2140.64	2231.17	2310.71	2204.91	2521.93	0.0350954813507514
"41"	"CYP"	"Cyprus"	"Europe"	"GDP Domestic Currency"	"National currency"	"Billions"	10.595	11.417	11.877	12.845	13.856	14.822	16	17.511	19.01	18.676	19.41	19.803	19.441	17.995	17.43	17.884	18.929	20.12	21.433	22.287	20.841	22.226	0.0344056395201273
"42"	"CYP"	"Cyprus"	"Europe"	"GDP U.S. Dollars"	"U.S. dollars"	"Billions"	9.988	10.397	11.422	14.552	17.328	18.713	20.422	24.082	27.956	26.02	25.753	27.56	24.993	23.9	23.162	19.844	20.947	22.721	25.322	24.953	23.785	26.546	0.0443383613628265
"43"	"CYP"	"Cyprus"	"Europe"	"GDP p.c. Domestic Currency"	"National currency"	"Units"	15344.02	16367.17	16834.08	17997.67	19167.98	20219.57	21505.14	23104.67	24486.53	23434.43	23695.58	23582.11	22552.61	20782.37	20314.92	21114.09	22313.89	23537.5	24799.48	25444.83	23469.13	24688.28	0.0214753521911433
"44"	"CYP"	"Cyprus"	"Europe"	"GDP p.c. U.S. Dollars"	"U.S. dollars"	"Units"	14464.82	14905.02	16188.53	20389.34	23969.82	25527.08	27448.57	31774.25	36009.75	32650.44	31439.29	32819.47	28993.69	27601.85	26995.34	23428.72	24692.5	26580.49	29300.33	28487.98	26784.89	29486.28	0.0312853340503991
"45"	"CYP"	"Cyprus"	"Europe"	"Inflation"	"Percent change"	""	3.749	2.163	3.111	2.304	3.855	1.426	1.499	3.835	1.962	1.773	2.135	4.379	1.604	-1.138	-0.883	-0.5	0.091	-0.412	0.989	0.7	-0.834	2	NA
"46"	"CYP"	"Cyprus"	"Europe"	"Unemployment"	"Percent of total labor force"	""	4.842	3.925	3.517	4.108	4.625	5.3	4.55	3.925	3.65	5.325	6.275	7.85	11.8	15.85	16.075	14.9	12.95	11.05	8.35	7.075	7.575	7.501	0.0226285012615466
"47"	"CYP"	"Cyprus"	"Europe"	"Population"	"Persons"	"Millions"	0.69	0.698	0.706	0.714	0.723	0.733	0.744	0.758	0.776	0.797	0.819	0.84	0.862	0.866	0.858	0.847	0.848	0.855	0.864	0.876	0.888	0.9	0.0126938994264232
"48"	"CYP"	"Cyprus"	"Europe"	"GDP FY U.S. Dollars"	"National currency"	"Billions"	10.595	11.417	11.877	12.845	13.856	14.822	16	17.511	19.01	18.676	19.41	19.803	19.441	17.995	17.43	17.884	18.929	20.12	21.433	22.287	20.841	22.226	0.0344056395201273
"49"	"CZE"	"Czech Republic"	"Europe"	"GDP Domestic Currency"	"National currency"	"Billions"	2386.29	2579.13	2690.98	2823.45	3079.21	3285.6	3530.88	3859.53	4042.86	3954.32	3992.87	4062.32	4088.91	4142.81	4345.77	4625.38	4796.87	5110.74	5409.67	5790.35	5694.62	5952.19	0.0444486103270121
"50"	"CZE"	"Czech Republic"	"Europe"	"GDP U.S. Dollars"	"U.S. dollars"	"Billions"	61.823	67.809	82.184	100.125	119.815	137.143	156.264	189.988	237.131	207.558	209.07	229.563	208.858	211.686	209.359	188.033	196.272	218.629	248.95	252.498	245.349	276.914	0.071350831041942
"51"	"CZE"	"Czech Republic"	"Europe"	"GDP p.c. Domestic Currency"	"National currency"	"Units"	232172.24	252064.03	263791.2	277008.66	302020.81	322153.91	345366.5	376384.37	390862.91	379282.78	381651.35	387377.44	389218.35	393948.44	413393.53	438912.25	454514.34	483110.88	509862.11	543704.86	532509.4	554700.99	0.0423794703131113
"52"	"CZE"	"Czech Republic"	"Europe"	"GDP p.c. U.S. Dollars"	"U.S. dollars"	"Units"	6015.07	6627.1	8056.32	9823.29	11751.9	13446.94	15284.67	18527.74	22925.75	19908.15	19983.58	21890.78	19880.9	20129.62	19915.38	17842.87	18597.21	20666.67	23463.6	23709.18	22942.86	25806.38	0.0692280499962856
"53"	"CZE"	"Czech Republic"	"Europe"	"Inflation"	"Percent change"	""	3.977	4.098	0.656	1.043	2.71	2.261	1.72	5.435	3.666	0.994	2.298	2.353	2.403	1.429	0.101	0	2.01	2.365	2.021	3.208	2.285	2.725	-0.0273277390506428
"54"	"CZE"	"Czech Republic"	"Europe"	"Unemployment"	"Percent of total labor force"	""	8.757	8.113	7.27	7.77	8.344	7.932	7.128	5.306	4.377	6.703	7.284	6.708	6.975	6.949	6.111	5.021	3.946	2.89	2.243	2.001	2.541	3.4	-0.0599900172334866
"55"	"CZE"	"Czech Republic"	"Europe"	"Population"	"Persons"	"Millions"	10.278	10.232	10.201	10.193	10.195	10.199	10.224	10.254	10.343	10.426	10.462	10.487	10.505	10.516	10.512	10.538	10.554	10.579	10.61	10.65	10.694	10.73	0.00198582654486623
"56"	"CZE"	"Czech Republic"	"Europe"	"GDP FY U.S. Dollars"	"National currency"	"Billions"	2386.29	2579.13	2690.98	2823.45	3079.21	3285.6	3530.88	3859.53	4042.86	3954.32	3992.87	4062.32	4088.91	4142.81	4345.77	4625.38	4796.87	5110.74	5409.67	5790.35	5694.62	5952.19	0.0444486103270121
"57"	"DNK"	"Denmark"	"Scandinavia"	"GDP Domestic Currency"	"National currency"	"Billions"	1326.91	1371.53	1410.27	1436.75	1506	1585.98	1682.26	1738.85	1801.47	1722.14	1810.93	1846.85	1895	1929.68	1981.17	2036.36	2107.81	2192.96	2253.32	2318.04	2329.56	2471.58	0.0285410315624777
"58"	"DNK"	"Denmark"	"Scandinavia"	"GDP U.S. Dollars"	"U.S. dollars"	"Billions"	164.158	164.791	178.635	218.097	251.375	264.467	282.886	319.424	353.359	321.243	321.995	344.003	327.149	343.584	352.994	302.673	313.116	332.121	356.841	347.561	356.085	396.666	0.0394762747958521
"59"	"DNK"	"Denmark"	"Scandinavia"	"GDP p.c. Domestic Currency"	"National currency"	"Units"	248950.47	256397.77	262701.01	266880.12	279011.2	293081.56	309953.52	319225.11	328988.09	312466.35	327192.72	332130.47	339574.69	344423.55	352067.22	359798.33	369321.24	381466.02	389766.64	399243.83	400078.28	423199.1	0.0240038776188209
"60"	"DNK"	"Denmark"	"Scandinavia"	"GDP p.c. U.S. Dollars"	"U.S. dollars"	"Units"	30798.72	30806.61	33275.56	40512.05	46571.28	48872.1	52121.25	58641.19	64531.12	58286.54	58177.16	61864.09	58623.41	61325.58	62729.5	53478.5	54862.85	57772.55	61724.49	59861.61	61153.92	67919.59	0.0348909322575703
"61"	"DNK"	"Denmark"	"Scandinavia"	"Inflation"	"Percent change"	""	2.35	2.041	2.625	1.218	0.963	2.265	1.632	2.523	2.461	1.201	2.805	2.413	1.742	0.504	0	0.301	0.3	0.797	0.692	0.883	0.389	1.4	-0.0860044380514979
"62"	"DNK"	"Denmark"	"Scandinavia"	"Unemployment"	"Percent of total labor force"	""	4.317	4.508	4.642	5.433	5.517	4.8	3.9	3.775	3.708	6.383	7.75	7.767	7.808	7.383	6.85	6.292	6.017	5.817	5.117	5.042	5.642	5.4	0.0134738600340298
"63"	"DNK"	"Denmark"	"Scandinavia"	"Population"	"Persons"	"Millions"	5.33	5.349	5.368	5.384	5.398	5.411	5.427	5.447	5.476	5.511	5.535	5.561	5.581	5.603	5.627	5.66	5.707	5.749	5.781	5.806	5.823	5.84	0.00443301460065459
"64"	"DNK"	"Denmark"	"Scandinavia"	"GDP FY U.S. Dollars"	"National currency"	"Billions"	1326.91	1371.53	1410.27	1436.75	1506	1585.98	1682.26	1738.85	1801.47	1722.14	1810.93	1846.85	1895	1929.68	1981.17	2036.36	2107.81	2192.96	2253.32	2318.04	2329.56	2471.58	0.0285410315624777
"65"	"EST"	"Estonia"	"Europe"	"GDP Domestic Currency"	"National currency"	"Billions"	6.172	6.987	7.823	8.744	9.777	11.343	13.569	16.401	16.618	14.132	14.741	16.677	17.917	18.911	20.048	20.631	21.748	23.834	25.818	27.732	26.835	30.175	0.0762515355909259
"66"	"EST"	"Estonia"	"Europe"	"GDP U.S. Dollars"	"U.S. dollars"	"Billions"	5.707	6.269	7.391	9.891	12.158	14.126	17.047	22.476	24.433	19.693	19.568	23.21	23.034	25.116	26.641	22.893	24.066	26.915	30.503	31.049	30.626	36.039	0.0876373680935802
"67"	"EST"	"Estonia"	"Europe"	"GDP p.c. Domestic Currency"	"National currency"	"Units"	4417.84	5033.5	5671.21	6379.44	7175.86	8372.81	10074.87	12233.59	12428.54	10589.51	11071.26	12563.48	13545.59	14348.13	15241.81	15684.4	16528.4	18091.64	19529.61	20900.78	20184.25	22690.91	0.0789222059836385
"68"	"EST"	"Estonia"	"Europe"	"GDP p.c. U.S. Dollars"	"U.S. dollars"	"Units"	4084.94	4516.22	5358.42	7216.27	8923.19	10426.69	12657.06	16764.94	18273.3	14756.39	14696.81	17484.73	17414.24	19056.28	20253.97	17403.81	18290.29	20430.57	23074.04	23400.47	23035.91	27100.74	0.0903375891647331
"69"	"EST"	"Estonia"	"Europe"	"Inflation"	"Percent change"	""	5.036	4.208	2.703	1.19	4.799	3.663	5.101	9.734	7.536	-1.873	5.421	4.087	3.638	2.049	0.061	-0.171	2.353	3.76	3.319	1.795	-0.877	7	NA
"70"	"EST"	"Estonia"	"Europe"	"Unemployment"	"Percent of total labor force"	""	14.602	13.009	11.227	10.342	10.14	8.031	5.912	4.592	5.455	13.549	16.707	12.325	10.023	8.628	7.351	6.185	6.758	5.763	5.371	4.448	6.806	6.516	-0.0374484891420787
"71"	"EST"	"Estonia"	"Europe"	"Population"	"Persons"	"Millions"	1.397	1.388	1.379	1.371	1.363	1.355	1.347	1.341	1.337	1.335	1.331	1.327	1.323	1.318	1.315	1.315	1.316	1.317	1.322	1.327	1.329	1.33	-0.00249190506419872
"72"	"EST"	"Estonia"	"Europe"	"GDP FY U.S. Dollars"	"National currency"	"Billions"	6.172	6.987	7.823	8.744	9.777	11.343	13.569	16.401	16.618	14.132	14.741	16.677	17.917	18.911	20.048	20.631	21.748	23.834	25.818	27.732	26.835	30.175	0.0762515355909259
"73"	"FIN"	"Finland"	"Scandinavia"	"GDP Domestic Currency"	"National currency"	"Billions"	136.442	144.628	148.486	151.749	158.758	164.687	172.897	187.072	194.265	181.747	188.143	197.998	201.037	204.321	206.897	211.385	217.518	226.301	233.468	240.097	236.188	247.848	0.0278162686943983
"74"	"FIN"	"Finland"	"Scandinavia"	"GDP U.S. Dollars"	"U.S. dollars"	"Billions"	126.075	129.534	140.305	171.609	197.39	204.999	217.101	256.408	285.685	253.222	249.628	275.556	258.454	271.366	274.934	234.558	240.705	255.558	275.84	268.812	269.557	296.016	0.0387261899963183
"75"	"FIN"	"Finland"	"Scandinavia"	"GDP p.c. Domestic Currency"	"National currency"	"Units"	26384.46	27914.46	28583.03	29147.22	30414.97	31449.16	32897.8	35450.75	36650.43	34122.47	35157.54	36834.95	37220.34	37651.24	37953.91	38632.04	39640.2	41120.99	42347.63	43512.24	42746.7	44813.39	0.0244192226407862
"76"	"FIN"	"Finland"	"Scandinavia"	"GDP p.c. U.S. Dollars"	"U.S. dollars"	"Units"	24379.78	25001.18	27008.26	32961.92	37816.08	39147.22	41308.62	48590.2	53897.91	47541.75	46647	51263.57	47850.56	50006.02	50434.79	42867.09	43865.76	46437.21	50033.31	48716.22	48786.03	53522.57	0.0352930172026671
"77"	"FIN"	"Finland"	"Scandinavia"	"Inflation"	"Percent change"	""	2.869	2.35	1.716	1.191	0.147	1.016	1.236	1.939	3.381	1.806	2.766	2.605	3.449	1.933	0.552	-0.249	1.1	0.505	1.319	1.137	0.192	2.239	-0.126468573341444
"78"	"FIN"	"Finland"	"Scandinavia"	"Unemployment"	"Percent of total labor force"	""	9.875	9.2	9.175	9.075	8.875	8.475	7.775	6.95	6.425	8.325	8.5	7.9	7.8	8.325	8.825	9.575	8.975	8.825	7.425	6.742	7.758	7.833	-0.0119916077483084
"79"	"FIN"	"Finland"	"Scandinavia"	"Population"	"Persons"	"Millions"	5.171	5.181	5.195	5.206	5.22	5.237	5.256	5.277	5.3	5.326	5.351	5.375	5.401	5.427	5.451	5.472	5.487	5.503	5.513	5.518	5.525	5.531	0.00331634464266473
"80"	"FIN"	"Finland"	"Scandinavia"	"GDP FY U.S. Dollars"	"National currency"	"Billions"	136.442	144.628	148.486	151.749	158.758	164.687	172.897	187.072	194.265	181.747	188.143	197.998	201.037	204.321	206.897	211.385	217.518	226.301	233.468	240.097	236.188	247.848	0.0278162686943983
"81"	"FRA"	"France"	"Europe"	"GDP Domestic Currency"	"National currency"	"Billions"	1478.59	1538.2	1587.83	1630.67	1704.02	1765.91	1848.15	1941.36	1992.38	1936.42	1995.29	2058.37	2088.8	2117.19	2149.77	2198.43	2234.13	2297.24	2363.31	2437.64	2302.86	2462.28	0.0224003478681249
"82"	"FRA"	"France"	"Europe"	"GDP U.S. Dollars"	"U.S. dollars"	"Billions"	1362.53	1376.71	1495.66	1840.85	2116.48	2194.73	2318.61	2657.1	2915.82	2690.98	2642.44	2862.03	2683.89	2811.04	2852.17	2438.21	2471.26	2589.03	2789.68	2728.83	2624.42	2940.43	0.0333188769527244
"83"	"FRA"	"France"	"Europe"	"GDP p.c. Domestic Currency"	"National currency"	"Units"	25121.14	25953.92	26603.08	27131.72	28163.08	28966.71	30100.31	31416.01	32065.41	30999.76	31789.72	32636.08	32958.93	33237.99	33575.41	34189.8	34654.43	35539.49	36446	37508.87	35361.24	37706.09	0.0172422905101106
"84"	"FRA"	"France"	"Europe"	"GDP p.c. U.S. Dollars"	"U.S. dollars"	"Units"	23149.27	23229.18	25058.79	30628.86	34980.08	36000.92	37762.46	42998.45	46927.31	43079.37	42100.29	45378.3	42348.74	44130.83	44545.72	37918.77	38332.68	40053.62	43021.38	41989.67	40298.85	45028.27	0.028105701584775
"85"	"FRA"	"France"	"Europe"	"Inflation"	"Percent change"	""	1.806	1.496	2.185	2.407	2.243	1.727	1.675	2.787	1.164	0.988	1.988	2.645	1.509	0.839	0.1	0.291	0.809	1.229	1.87	1.585	-0.142	2.886	NA
"86"	"FRA"	"France"	"Europe"	"Unemployment"	"Percent of total labor force"	""	9.175	8.458	8.275	8.517	8.858	8.892	8.842	8.017	7.475	9.075	9.267	9.225	9.767	10.308	10.258	10.35	10.05	9.442	9	8.408	7.992	8.133	-0.00687830306724191
"87"	"FRA"	"France"	"Europe"	"Population"	"Persons"	"Millions"	58.858	59.267	59.686	60.102	60.505	60.963	61.4	61.795	62.135	62.466	62.765	63.07	63.376	63.698	64.028	64.301	64.469	64.639	64.844	64.988	65.124	65.302	0.00507108371927401
"88"	"FRA"	"France"	"Europe"	"GDP FY U.S. Dollars"	"National currency"	"Billions"	1478.59	1538.2	1587.83	1630.67	1704.02	1765.91	1848.15	1941.36	1992.38	1936.42	1995.29	2058.37	2088.8	2117.19	2149.77	2198.43	2234.13	2297.24	2363.31	2437.64	2302.86	2462.28	0.0224003478681249
"89"	"DEU"	"Germany"	"Europe"	"GDP Domestic Currency"	"National currency"	"Billions"	2109.09	2172.54	2198.12	2211.57	2262.52	2288.31	2385.08	2499.55	2546.49	2445.73	2564.4	2693.56	2745.31	2811.35	2927.43	3026.18	3134.74	3267.16	3367.86	3473.35	3367.56	3541.84	0.0236724409749638
